feature,coefficient,importance
cat__Financial Stress_5.0,2.2809139715115374,2.2809139715115374
cat__Financial Stress_4.0,1.620049859007759,1.620049859007759
cat__Profession_Student,-1.5767790132925261,1.5767790132925261
num__Academic Pressure,1.179722275675279,1.179722275675279
cat__Financial Stress_3.0,1.162322085485986,1.162322085485986
cat__Dietary Habits_Unhealthy,1.0850983126116078,1.0850983126116078
cat__Dietary Habits_Others,1.0692064871972147,1.0692064871972147
num__Age,-0.5823572198661704,0.5823572198661704
cat__Dietary Habits_Moderate,0.5120474650417731,0.5120474650417731
cat__City_Bhavna,0.4567831361717787,0.4567831361717787
cat__Degree_LLM,0.4504796706821735,0.4504796706821735
num__Work/Study Hours,0.4442474585532305,0.4442474585532305
cat__Financial Stress_2.0,0.420755772751198,0.420755772751198
cat__City_Saanvi,0.4007389260698406,0.4007389260698406
cat__Degree_LLB,0.3976287085885709,0.3976287085885709
cat__City_Mumbai,-0.3864968759515856,0.3864968759515856
cat__Sleep Duration_'Less than 5 hours',0.3656387257942539,0.3656387257942539
cat__Profession_Pharmacist,0.3537662758032232,0.3537662758032232
cat__City_Nalyan,-0.3179431768913124,0.3179431768913124
num__Study Satisfaction,-0.30671951214743237,0.30671951214743237
cat__Degree_BSc,0.30643932340151053,0.30643932340151053
cat__Degree_MBBS,0.3055346763405509,0.3055346763405509
cat__Degree_B.Tech,0.3047779813038899,0.3047779813038899
cat__City_Nagpur,-0.30184471141403985,0.30184471141403985
cat__Degree_MD,0.29051951328004466,0.29051951328004466
cat__Sleep Duration_'More than 8 hours',-0.28794738840694817,0.28794738840694817
cat__Profession_Doctor,0.2802552336373047,0.2802552336373047
cat__Degree_B.Ed,0.27924296258050674,0.27924296258050674
cat__Profession_Teacher,0.27918150927086505,0.27918150927086505
cat__Degree_M.Ed,0.276277174922781,0.276277174922781
cat__Degree_BBA,0.27612613016798665,0.27612613016798665
cat__City_Jaipur,-0.2749532862621129,0.2749532862621129
cat__Family History of Mental Illness_Yes,0.2696410879571946,0.2696410879571946
cat__Degree_M.Pharm,0.26954415815743427,0.26954415815743427
cat__Degree_BCA,0.26441210308904783,0.26441210308904783
cat__Degree_MHM,0.2504936487352542,0.2504936487352542
cat__Profession_Chef,0.24828806967235265,0.24828806967235265
cat__City_Varanasi,-0.24435756914481618,0.24435756914481618
cat__City_Bhopal,0.2383515827271761,0.2383515827271761
cat__City_Reyansh,-0.23418090187818313,0.23418090187818313
cat__City_Faridabad,0.23259346133350675,0.23259346133350675
cat__City_Hyderabad,0.2228391950122226,0.2228391950122226
cat__Degree_PhD,0.2193395451250346,0.2193395451250346
cat__Degree_BE,0.21394389418254575,0.21394389418254575
cat__Degree_M.Com,0.21292295091126212,0.21292295091126212
cat__Profession_'Educational Consultant',0.1979197018364624,0.1979197018364624
cat__Degree_B.Arch,0.19769840981481732,0.19769840981481732
cat__City_Chennai,-0.19112057491086384,0.19112057491086384
cat__City_Mihir,0.18701428104661247,0.18701428104661247
cat__City_Ahmedabad,0.18237764068403517,0.18237764068403517
cat__City_Agra,-0.18200638402301145,0.18200638402301145
cat__Degree_MSc,0.17854671165454247,0.17854671165454247
cat__City_Delhi,-0.1736824647134406,0.1736824647134406
cat__Degree_MA,0.1690265117302509,0.1690265117302509
cat__Degree_Others,0.16405359836716224,0.16405359836716224
cat__Degree_B.Com,0.15660579915562062,0.15660579915562062
cat__City_Patna,0.15553048098083316,0.15553048098083316
cat__Degree_M.Tech,0.15138265196688974,0.15138265196688974
cat__City_Khaziabad,0.14988758480084477,0.14988758480084477
cat__Profession_Entrepreneur,0.1411269067174687,0.1411269067174687
cat__Financial Stress_?,0.1374955720409187,0.1374955720409187
cat__Degree_MBA,0.13595699177406448,0.13595699177406448
cat__City_Lucknow,-0.12960387941398044,0.12960387941398044
cat__Degree_BHM,0.12701989543591644,0.12701989543591644
cat__City_Kanpur,0.1215824263281345,0.1215824263281345
cat__Degree_MCA,0.11772496596504663,0.11772496596504663
cat__City_Kolkata,0.11278405787451645,0.11278405787451645
cat__City_M.Tech,-0.10683135777490115,0.10683135777490115
cat__Profession_'Content Writer',0.1051965593116849,0.1051965593116849
cat__City_Surat,0.09928543827006896,0.09928543827006896
cat__City_Pune,-0.09670559226172784,0.09670559226172784
cat__City_Vadodara,-0.09396024766815159,0.09396024766815159
cat__City_Meerut,0.09223487904558905,0.09223487904558905
cat__City_Thane,0.08910533736847383,0.08910533736847383
cat__City_Rajkot,-0.08840794454354435,0.08840794454354435
cat__Degree_ME,-0.08779260322658901,0.08779260322658901
cat__City_Vasai-Virar,-0.08440427396917675,0.08440427396917675
cat__City_Ghaziabad,-0.08362555478308822,0.08362555478308822
cat__City_City,0.08273833055487136,0.08273833055487136
num__Work Pressure,-0.08069732204892675,0.08069732204892675
cat__City_Kalyan,0.0789790690482818,0.0789790690482818
cat__Sleep Duration_'7-8 hours',0.07821397359142145,0.07821397359142145
cat__City_Bangalore,0.06696020497649639,0.06696020497649639
cat__Profession_'Digital Marketer',-0.0658634293609362,0.0658634293609362
num__CGPA,0.062313233953246734,0.062313233953246734
cat__City_Srinagar,-0.05372141813254534,0.05372141813254534
cat__City_Visakhapatnam,0.04964552125672052,0.04964552125672052
cat__Profession_Manager,0.04713840839794454,0.04713840839794454
cat__Sleep Duration_Others,0.044603935012307035,0.044603935012307035
cat__City_Gaurav,0.04187815344730207,0.04187815344730207
cat__Profession_Architect,0.04026895121357473,0.04026895121357473
cat__Degree_B.Pharm,0.0397040281433277,0.0397040281433277
cat__City_Nandini,-0.037976945036590104,0.037976945036590104
cat__Degree_BA,0.03740460816193608,0.03740460816193608
cat__City_3.0,0.036242937824480244,0.036242937824480244
cat__City_M.Com,0.03532452411391217,0.03532452411391217
cat__City_Nashik,0.032029792980885444,0.032029792980885444
cat__City_Mira,0.029292012075614562,0.029292012075614562
cat__City_Harsha,-0.023965341365608395,0.023965341365608395
cat__City_Harsh,0.022816607318611074,0.022816607318611074
cat__Profession_Lawyer,0.021204473261908604,0.021204473261908604
cat__City_Indore,0.017081139241227047,0.017081139241227047
cat__City_'Less than 5 Kalyan',-0.009833215402245186,0.009833215402245186
num__Job Satisfaction,-0.008296326724650175,0.008296326724650175
cat__City_Ludhiana,-0.005679260508583473,0.005679260508583473
cat__Gender_Male,-0.000455151876463513,0.000455151876463513
